,Date,S&P_Open,S&P_Close,S&P_Volume,PRIME,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,Div_Ratio,EY_Ratio,CS_Index,vo_Open,vo_Close,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,Close_t-1,return(%),return_class,Close_t+1,return(%)_t+1,return_class_t+1
3577,2008-06-19,1336.89,1342.83,4811670000.0,5.0,1.86,4.199,215.208,1.0,131.88,5.4,25.81,39.22,3.88,62.6,22.24,21.58,888.6,901.7,44.0,2427.169922,2462.060059,2294540000.0,14324.709961,14130.169922,130900000.0,1.0161,-0.15,1337.81,0.37524013125929556,0,1317.93,-1.8542927995352998,-1
3578,2008-06-18,1349.59,1337.81,4573570000.0,5.0,1.88,4.154,215.208,1.0,136.54,5.4,25.81,39.22,3.88,62.6,21.67,22.24,888.0,890.9,135.0,2444.959961,2429.709961,2030700000.0,14301.360352,14452.820313,110900000.0,1.0176,-0.14,1350.93,-0.9711828148016639,-1,1342.83,0.37524013125929556,0
3579,2008-06-17,1360.71,1350.93,3801960000.0,5.0,1.955,4.225,215.208,1.0,133.99,5.4,25.81,39.22,3.88,62.6,20.959999,21.129999,883.4,884.3,62.0,2481.199951,2457.72998,1798050000.0,14387.0,14348.370117,110700000.0,1.019,-0.55,1360.14,-0.6771361771582363,-1,1337.81,-0.9711828148016639,-1
3580,2008-06-16,1358.85,1360.14,3706940000.0,5.0,1.94,4.245,215.208,1.0,134.52,5.4,25.81,39.22,3.88,62.6,21.219999,20.950001,872.5,883.6,70.0,2443.129883,2474.780029,1871720000.0,14118.230469,14354.370117,119900000.0,1.0246,-0.47,1360.03,0.008088056881107574,0,1350.93,-0.6771361771582363,-1
3581,2008-06-13,1341.81,1360.03,4080420000.0,5.0,1.93,4.261,215.208,1.0,134.84,5.4,25.81,39.22,3.88,62.6,23.02,21.219999,870.3,870.3,361.0,2423.050049,2454.5,2106050000.0,14011.120117,13973.730469,230400000.0,1.0294,0.52,1339.87,1.504623582884913,1,1360.14,0.008088056881107574,0
3582,2008-06-12,1335.78,1339.87,4734240000.0,5.0,1.95,4.205,215.208,1.0,136.91,5.4,25.81,39.22,3.88,62.6,23.610001,23.33,873.6,869.2,135.0,2414.459961,2404.350098,2276640000.0,14010.320313,13888.599609,133400000.0,1.0241,0.39,1335.49,0.3279695093186682,0,1360.03,1.504623582884913,1
3583,2008-06-11,1357.09,1335.49,4779980000.0,5.0,1.905,4.073,215.208,1.0,136.43,5.4,25.81,39.22,3.88,62.6,23.440001,24.120001,869.5,879.7,146.0,2444.939941,2394.01001,2065810000.0,14137.540039,14183.480469,131100000.0,1.0201,-0.19,1358.44,-1.6894378846323757,-1,1339.87,0.3279695093186682,0
3584,2008-06-10,1358.98,1358.44,4635070000.0,5.0,1.97,4.099,215.208,1.0,131.38,5.4,25.81,39.22,3.88,62.6,24.370001,23.18,886.6,867.9,457.0,2436.75,2448.939941,2081430000.0,14281.360352,14021.169922,120700000.0,1.022,-0.14,1361.76,-0.24380213840911294,0,1335.49,-1.6894378846323757,-1
3585,2008-06-09,1360.83,1361.76,4404570000.0,5.0,1.85,3.992,215.208,1.0,134.44,5.4,25.81,39.22,3.88,62.6,23.559999,23.120001,900.7,894.7,1930.0,2483.219971,2459.459961,2084630000.0,14275.339844,14181.379883,122000000.0,1.0234,0.37,1360.68,0.07937207866654372,0,1358.44,-0.24380213840911294,0
3586,2008-06-06,1400.06,1360.68,4771660000.0,5.0,1.8,3.938,215.208,1.0,138.51,5.4,25.81,39.22,3.88,62.6,18.629999,23.559999,878.5,895.4,230.0,2528.52002,2474.560059,2192240000.0,14530.360352,14489.44043,150700000.0,1.0196,0.25,1404.05,-3.0889213347102946,-1,1361.76,0.07937207866654372,0
3587,2008-06-05,1377.48,1404.05,4350790000.0,5.0,1.81,4.025,215.208,1.0,127.93,5.4,25.81,39.22,3.88,62.6,20.540001,18.629999,876.1,871.8,340.0,2509.48999,2549.939941,2254760000.0,14392.589844,14341.120117,152100000.0,1.0171,-0.01,1377.2,1.9496079000871267,1,1360.68,-3.0889213347102946,-1
3588,2008-06-04,1376.26,1377.2,4338640000.0,5.0,1.805,3.94,215.208,1.0,122.3,5.4,25.81,39.22,3.88,62.6,20.639999,20.799999,879.5,879.9,612.0,2473.030029,2503.139893,2153510000.0,14270.070313,14435.570313,168900000.0,1.0172,0.81,1377.65,-0.03266431967481185,0,1404.05,1.9496079000871267,1
3589,2008-06-03,1386.42,1377.65,4396380000.0,5.0,1.81,3.898,215.208,1.0,124.33,5.4,25.81,39.22,3.88,62.6,19.799999,20.24,889.8,881.6,2079.0,2500.5,2480.47998,2148040000.0,14275.610352,14209.169922,152600000.0,1.009,0.73,1385.67,-0.5787813837349428,-1,1377.2,-0.03266431967481185,0
3590,2008-06-02,1399.62,1385.67,3714320000.0,5.0,1.79,3.971,215.208,1.0,127.75,5.4,25.81,39.22,3.88,62.6,17.83,19.83,887.3,892.9,2132.0,2514.820068,2491.530029,1972760000.0,14342.959961,14440.139648,154800000.0,1.0017,0.84,1400.38,-1.0504291692254986,-1,1377.65,-0.5787813837349428,-1
3591,2008-05-30,1398.36,1400.38,3845630000.0,5.0,1.85,4.046,215.208,1.0,127.35,5.4,25.81,39.22,3.88,62.6,18.139999,17.83,880.2,887.3,6671.0,2519.139893,2522.659912,2153350000.0,14195.660156,14338.540039,166700000.0,0.9934,0.51,1398.26,0.15161700971207917,0,1385.67,-1.0504291692254986,-1
